audio,text,response
hola.wav,HOLA,HOLA
hola1.wav,HOLA,HOLA
hola2.wav,HOLA,HOLA
hola3.wav,HOLA,HOLA
hola4.wav,HOLA,HOLA
hola5.wav,HOLA,HOLA
hola6.wav,HOLA,HOLA
hola7.wav,HOLA,HOLA
hola8.wav,HOLA,HOLA
hola9.wav,HOLA,HOLA
hola10.wav,HOLA,HOLA
hola11.wav,HOLA,HOLA
hola12.wav,HOLA,HOLA
hola13.wav,HOLA,HOLA
hola14.wav,HOLA,HOLA
hola15.wav,HOLA,HOLA
hola16.wav,HOLA,HOLA
hola17.wav,HOLA,HOLA
hola18.wav,HOLA,HOLA
hola19.wav,HOLA,HOLA
hola20.wav,HOLA,HOLA
hola21.wav,HOLA,HOLA
hola22.wav,HOLA,HOLA
hola23.wav,HOLA,HOLA
hola24.wav,HOLA,HOLA
hola25.wav,HOLA,HOLA
hola26.wav,HOLA,HOLA
hola27.wav,HOLA,HOLA
hola28.wav,HOLA,HOLA
hola29.wav,HOLA,HOLA
hola30.wav,HOLA,HOLA
hola31.wav,HOLA,HOLA
hola32.wav,HOLA,HOLA
hola33.wav,HOLA,HOLA
hola34.wav,HOLA,HOLA
hola35.wav,HOLA,HOLA
hola36.wav,HOLA,HOLA
hola37.wav,HOLA,HOLA
hola38.wav,HOLA,HOLA
hola39.wav,HOLA,HOLA
hola40.wav,HOLA,HOLA
hola41.wav,HOLA,HOLA
hola42.wav,HOLA,HOLA
hola43.wav,HOLA,HOLA
hola44.wav,HOLA,HOLA
hola45.wav,HOLA,HOLA
hola46.wav,HOLA,HOLA
hola47.wav,HOLA,HOLA
hola48.wav,HOLA,HOLA
hola49.wav,HOLA,HOLA
hola50.wav,HOLA,HOLA
hola51.wav,HOLA,HOLA
hola52.wav,HOLA,HOLA
hola53.wav,HOLA,HOLA
hola54.wav,HOLA,HOLA
hola55.wav,HOLA,HOLA
hola56.wav,HOLA,HOLA
hola57.wav,HOLA,HOLA
hola58.wav,HOLA,HOLA
hola59.wav,HOLA,HOLA
hola60.wav,HOLA,HOLA
hola61.wav,HOLA,HOLA
hola62.wav,HOLA,HOLA
hola63.wav,HOLA,HOLA
hola64.wav,HOLA,HOLA
hola65.wav,HOLA,HOLA
hola66.wav,HOLA,HOLA
hola67.wav,HOLA,HOLA
hola68.wav,HOLA,HOLA
hola69.wav,HOLA,HOLA
hola70.wav,HOLA,HOLA
hola71.wav,HOLA,HOLA
hola72.wav,HOLA,HOLA
hola73.wav,HOLA,HOLA
hola74.wav,HOLA,HOLA
hola75.wav,HOLA,HOLA
hola76.wav,HOLA,HOLA
hola77.wav,HOLA,HOLA
hola78.wav,HOLA,HOLA
hola79.wav,HOLA,HOLA
hola80.wav,HOLA,HOLA
hola81.wav,HOLA,HOLA
hola82.wav,HOLA,HOLA
hola83.wav,HOLA,HOLA
hola84.wav,HOLA,HOLA
hola85.wav,HOLA,HOLA
hola86.wav,HOLA,HOLA
hola87.wav,HOLA,HOLA
hola88.wav,HOLA,HOLA
hola89.wav,HOLA,HOLA
hola90.wav,HOLA,HOLA
hola91.wav,HOLA,HOLA
hola92.wav,HOLA,HOLA
hola93.wav,HOLA,HOLA
hola94.wav,HOLA,HOLA
hola95.wav,HOLA,HOLA
hola96.wav,HOLA,HOLA
hola97.wav,HOLA,HOLA
hola98.wav,HOLA,HOLA
hola99.wav,HOLA,HOLA
hola100.wav,HOLA,HOLA
hola101.wav,HOLA,HOLA
hola102.wav,HOLA,HOLA
hola103.wav,HOLA,HOLA
hola104.wav,HOLA,HOLA
hola105.wav,HOLA,HOLA
hola106.wav,HOLA,HOLA
hola107.wav,HOLA,HOLA
hola108.wav,HOLA,HOLA
hola109.wav,HOLA,HOLA
hola110.wav,HOLA,HOLA
hola111.wav,HOLA,HOLA
hola112.wav,HOLA,HOLA
hola113.wav,HOLA,HOLA
hola114.wav,HOLA,HOLA
hola115.wav,HOLA,HOLA
hola116.wav,HOLA,HOLA
hola117.wav,HOLA,HOLA
hola118.wav,HOLA,HOLA
hola119.wav,HOLA,HOLA
hola120.wav,HOLA,HOLA
hola121.wav,HOLA,HOLA
hola122.wav,HOLA,HOLA
hola123.wav,HOLA,HOLA
hola124.wav,HOLA,HOLA
hola125.wav,HOLA,HOLA
hola126.wav,HOLA,HOLA
hola127.wav,HOLA,HOLA
hola128.wav,HOLA,HOLA
hola129.wav,HOLA,HOLA
hola130.wav,HOLA,HOLA
hola131.wav,HOLA,HOLA
hola132.wav,HOLA,HOLA
hola133.wav,HOLA,HOLA
hola134.wav,HOLA,HOLA
hola135.wav,HOLA,HOLA
hola136.wav,HOLA,HOLA
hola137.wav,HOLA,HOLA
hola138.wav,HOLA,HOLA
hola139.wav,HOLA,HOLA
hola140.wav,HOLA,HOLA
hola141.wav,HOLA,HOLA
hola142.wav,HOLA,HOLA
hola143.wav,HOLA,HOLA
hola144.wav,HOLA,HOLA
hola145.wav,HOLA,HOLA
hola146.wav,HOLA,HOLA
hola147.wav,HOLA,HOLA
hola148.wav,HOLA,HOLA
hola149.wav,HOLA,HOLA
hola150.wav,HOLA,HOLA
hola151.wav,HOLA,HOLA
hola152.wav,HOLA,HOLA
hola153.wav,HOLA,HOLA
hola154.wav,HOLA,HOLA
hola155.wav,HOLA,HOLA
hola156.wav,HOLA,HOLA
hola157.wav,HOLA,HOLA
hola158.wav,HOLA,HOLA
hola159.wav,HOLA,HOLA
hola160.wav,HOLA,HOLA
hola161.wav,HOLA,HOLA
hola162.wav,HOLA,HOLA
hola163.wav,HOLA,HOLA
hola164.wav,HOLA,HOLA
hola165.wav,HOLA,HOLA
hola166.wav,HOLA,HOLA
hola167.wav,HOLA,HOLA
hola168.wav,HOLA,HOLA
hola169.wav,HOLA,HOLA
hola170.wav,HOLA,HOLA
hola171.wav,HOLA,HOLA
hola172.wav,HOLA,HOLA
hola173.wav,HOLA,HOLA
hola174.wav,HOLA,HOLA
hola175.wav,HOLA,HOLA
hola176.wav,HOLA,HOLA
hola177.wav,HOLA,HOLA
hola178.wav,HOLA,HOLA
hola179.wav,HOLA,HOLA
hola180.wav,HOLA,HOLA
hola181.wav,HOLA,HOLA
hola182.wav,HOLA,HOLA
hola183.wav,HOLA,HOLA
hola184.wav,HOLA,HOLA
hola185.wav,HOLA,HOLA
hola186.wav,HOLA,HOLA
hola187.wav,HOLA,HOLA
hola188.wav,HOLA,HOLA
hola189.wav,HOLA,HOLA
hola190.wav,HOLA,HOLA
hola191.wav,HOLA,HOLA
hola192.wav,HOLA,HOLA
hola193.wav,HOLA,HOLA
hola194.wav,HOLA,HOLA
hola195.wav,HOLA,HOLA
hola196.wav,HOLA,HOLA
hola197.wav,HOLA,HOLA
hola198.wav,HOLA,HOLA
hola199.wav,HOLA,HOLA
hola200.wav,HOLA,HOLA
comoestas.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas1.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas2.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas3.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas4.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas5.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas6.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas7.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas8.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas9.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas10.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas11.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas12.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas13.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas14.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas15.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas16.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas17.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas18.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas19.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas20.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas21.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas22.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas23.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas24.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas25.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas26.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas27.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas28.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas29.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas30.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas31.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas32.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas33.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas34.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas35.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas36.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas37.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas38.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas39.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas40.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas41.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas42.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas43.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas44.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas45.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas46.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas47.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas48.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas49.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas50.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas51.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas52.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas53.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas54.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas55.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas56.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas57.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas58.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas59.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas60.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas61.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas62.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas63.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas64.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas65.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas66.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas67.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas68.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas69.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas70.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas71.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas72.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas73.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas74.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas75.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas76.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas77.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas78.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas79.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas80.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas81.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas82.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas83.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas84.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas85.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas86.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas87.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas88.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas89.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas90.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas91.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas92.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas93.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas94.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas95.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas96.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas97.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas98.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas99.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas100.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas101.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas102.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas103.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas104.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas105.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas106.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas107.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas108.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas109.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas110.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas111.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas112.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas113.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas114.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas115.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas116.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas117.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas118.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas119.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas120.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas121.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas122.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas123.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas124.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas125.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas126.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas127.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas128.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas129.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas130.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas131.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas132.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas133.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas134.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas135.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas136.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas137.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas138.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas139.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas140.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas141.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas142.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas143.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas144.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas145.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas146.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas147.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas148.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas149.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas150.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas151.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas152.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas153.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas154.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas155.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas156.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas157.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas158.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas159.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas160.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas161.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas162.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas163.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas164.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas165.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas166.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas167.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
comoestas168.wav,¿CÓMO ESTÁS?,SOY UN ASISTENTE NO TENGO SENTIMIENTOS
